Feature,Importance
wind_speed_mph,0.1973119339275076
visibility_miles,0.11509897170683993
distance,0.09447951724418983
precipitation_in,0.08729777607402626
is_peak_hour,0.08530082169002985
temperature_f,0.06715322388637374
hour_cos,0.041687177678878265
month_cos,0.041091697225598814
hour_sin,0.03962302394842526
origin,0.03883329659610719
origin_congestion_index,0.03831651490053815
airline,0.03599363149834152
dest,0.03414547090626026
dest_congestion_index,0.029816124775571155
month_sin,0.025137335105083054
is_holiday_season,0.01772778131273702
is_weekend,0.010985701523491993
